section,group,name,files,lines
summary,broad_scope,broad_tracked_text_code_scope,463,86355
summary,source_scope,source_only_scope,370,65737
folder,top_level,src,246,51351
folder,top_level,api,75,11203
folder,top_level,docs,67,10916
folder,top_level,[root],14,9136
folder,top_level,tests,22,2264
folder,top_level,.github,7,496
folder,top_level,android,21,476
folder,top_level,landing,2,340
folder,top_level,ios,7,117
folder,top_level,public,2,56
language,broad_scope,TypeScript,213,41646
language,broad_scope,TSX,133,23214
language,broad_scope,Markdown,64,11151
language,broad_scope,JSON,10,8584
language,broad_scope,YAML,4,415
language,broad_scope,HTML,2,354
language,broad_scope,XML,11,301
language,broad_scope,SQL,9,281
language,broad_scope,Gradle,6,121
language,broad_scope,CSS,1,88
language,broad_scope,Swift,3,71
language,broad_scope,JavaScript,2,67
language,broad_scope,Java,3,38
language,broad_scope,Properties,2,24
app_vs_test,source_scope,app_code,281,54059
app_vs_test,source_scope,test_code,89,11678
frontend_vs_backend,source_scope,frontend,249,51723
frontend_vs_backend,source_scope,backend,75,11203
frontend_vs_backend,source_scope,supporting,46,2811
largest_source_file,source_scope,src/data/courses.ts,,4439
largest_source_file,source_scope,src/data/exercises/barbell.ts,,1644
largest_source_file,source_scope,src/data/exercises/cable.ts,,1358
largest_source_file,source_scope,src/lib/db.ts,,1277
largest_source_file,source_scope,src/data/exercises/legacy.ts,,1127
largest_source_file,source_scope,src/data/exercises/bodyweight.ts,,1062
largest_source_file,source_scope,src/pages/ProfilePage.tsx,,1053
largest_source_file,source_scope,src/data/exercises/machine.ts,,1005
largest_source_file,source_scope,api/generate-program.ts,,909
largest_source_file,source_scope,src/pages/NutritionPage.tsx,,841
largest_source_file,source_scope,src/types/index.ts,,839
largest_source_file,source_scope,src/pages/AskPage.tsx,,820
largest_source_file,source_scope,src/data/exercises/kettlebell.ts,,779
largest_source_file,source_scope,src/data/exercises/dumbbell.ts,,732
largest_source_file,source_scope,src/data/exercises/mobility.ts,,665
largest_source_file,source_scope,src/components/workout/WorkoutCompleteModal.tsx,,646
largest_source_file,source_scope,src/pages/DashboardPage.tsx,,638
largest_source_file,source_scope,src/pages/ExerciseDetailPage.tsx,,632
largest_source_file,source_scope,src/data/exercises/resistance-band.ts,,630
largest_source_file,source_scope,src/router.tsx,,614
